SeqID	TaxonName	Species-levelName	Light	Temperature	Moisture	Reaction	Nutrients	Salinity		Disturbance.Severity	Disturbance.Severity.herblayer	Disturbance.Frequency	Disturbance.Frequency.herblayer	Mowing.Frequency	Grazing.Pressure	Soil.Disturbance	SD_Disturbance.Severity	SD_Disturbance.Severity.herblayer	SD_Disturbance.Frequency	SD_Disturbance.Frequency.herblayer	SD_Mowing.Frequency	SD_Grazing.Pressure	SD_Soil.Disturbance
170	Agrostis castellana	Agrostis castellana	8.3	7.1	x	x	2.7	0		0.47418	0.34848	0.72333	1.60782	0.26124	0.3262	0.19946	0.0012	0.001	0.2212	0.0141	0.2984	0.0012	0.0007
171	Agrostis curtisii	Agrostis curtisii	8	6	5.5	2	1.3	0		0.50175	0.33706	0.63145	1.56723	0.30709	0.3334	0.16326	0.0015	0.0014	0.346	0.0257	0.4147	0.002	0.0012
172	Agrostis gigantea	Agrostis gigantea	7.4	5.1	x	6.8	6	0.2		0.57768	0.52888	1.08923	1.73271	0.53799	0.20021	0.30577	0.0011	0.0013	0.1182	0.0156	0.2205	0.0009	0.0015
173	Agrostis hesperica	Agrostis hesperica	8.5	5	7.3	3	1.5	0		0.375	0.375	1.7591	1.7591	0.66965	0.31385	0.15455	0.0081	0.0081	0.0912	0.0912	1.9957	0.0082	0.0052
174	Agrostis mertensii	Agrostis mertensii	9	2	5.5	6	1	0		0.29623	0.26667	1.45296	1.69054	0.0298	0.19126	0.12079	0.0042	0.0031	0.5153	0.0544	0.6406	0.0033	0.0027
175	Agrostis nevadensis	Agrostis nevadensis	NA	NA	4.6	NA	NA	NA		0.4	0.4	1.64782	1.64782	0.2636	0.36786	0.20714	0.0025	0.0025	0.0443	0.0443	1.1509	0.0017	0.0027
176	Agrostis rupestris	Agrostis rupestris	7.9	1.8	4.3	2.2	1	0		0.28867	0.27892	1.3996	1.5036	0.01433	0.24506	0.09453	0.0004	0.0004	0.0591	0.0548	0.0789	0.0006	0.0004
177	Agrostis sabulicola	Agrostis sabulicola	8.5	5.5	5.8	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
178	Agrostis schleicheri	Agrostis schleicheri	8.5	2	4.6	x	2.5	0		0.38957	0.31905	0.86937	1.47456	0.14747	0.27963	0.10609	0.0043	0.0042	0.6898	0.1991	1.4906	0.0046	0.0026
179	Agrostis schraderiana	Agrostis schraderiana	7	2.3	5.3	5.3	5	0		0.42646	0.23424	0.56038	1.31096	0.02531	0.21051	0.08527	0.0027	0.0013	0.5456	0.1626	0.0869	0.0011	0.0008
180	Agrostis stolonifera	Agrostis stolonifera	7.8	x	7	x	5	0.7		0.47931	0.44635	1.23503	1.80321	0.45794	0.34582	0.21757	0.0002	0.0002	0.0222	0.0032	0.0488	0.0003	0.0002
181	Agrostis tileni	Agrostis tileni	9	3	2	2	1	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
182	Agrostis vinealis	Agrostis vinealis	8	x	x	2.6	1.6	0		0.44823	0.36476	0.99804	1.71765	0.27198	0.29867	0.25171	0.0007	0.0007	0.1253	0.0119	0.2159	0.0006	0.0007
183	Ailanthus altissima	Ailanthus altissima	7.1	x	5.1	6.3	7.2	0.3		0.7568	0.38669	0.33075	1.43287	0.14625	0.19387	0.28048	0.0029	0.005	0.7017	0.0465	0.9172	0.0017	0.0043
184	Aira caryophyllea	Aira caryophyllea	8.7	6.5	2.4	3.7	1.6	0		0.47578	0.42311	1.13458	1.95739	0.50313	0.33193	0.32762	0.001	0.001	0.1059	0.0094	0.2429	0.0011	0.001
185	Aira cupaniana	Aira cupaniana	7.5	9	2	3	1	0		0.50922	0.46912	1.28301	1.95045	0.4709	0.30041	0.2747	0.0027	0.0028	0.1263	0.0142	0.4171	0.0015	0.0016
186	Aira elegans	Aira elegans	7.5	6.5	4.8	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
187	Aira elegantissima	Aira elegantissima	8.2	x	2.5	x	1.3	0		0.56337	0.43448	0.84003	1.77116	0.34685	0.32338	0.2265	0.0012	0.0015	0.1546	0.0097	0.2487	0.0009	0.0011
188	Aira praecox	Aira praecox	8.6	6.8	2.2	2.6	1.4	0		0.41215	0.39466	1.53945	1.89683	0.44628	0.34445	0.37528	0.0009	0.0009	0.0983	0.0217	0.3197	0.0015	0.0012
189	Aira provincialis	Aira provincialis	8	9	2	3	1	0		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
190	Aira tenorei	Aira tenorei	8	9	2	3	1	0		0.44342	0.36338	1.0926	1.91137	0.44039	0.26901	0.21233	0.009	0.0086	1.1004	0.0617	1.7512	0.0031	0.0042
191	Airopsis tenella	Airopsis tenella	8	8	2	4	1	0		0.36667	0.296	1.06604	1.70811	0.21257	0.23333	0.16538	0.0132	0.0145	0.389	0.1595	2.5133	0.0051	0.007
192	Aizoanthemopsis hispanica	Aizoanthemopsis hispanica	9	11.5	1	7.5	5.5	2		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
193	Ajuga chamaepitys	Ajuga chamaepitys	7.5	x	3.6	8.5	x	0		0.64774	0.63124	1.47219	1.98222	0.58996	0.30036	0.42442	0.0021	0.0022	0.1189	0.0334	0.4135	0.0016	0.003
194	Ajuga genevensis	Ajuga genevensis	7.8	5.6	3.7	7	2.3	0		0.57234	0.33809	0.41869	1.57703	0.30032	0.244	0.17488	0.0009	0.0013	0.2922	0.0149	0.3292	0.0007	0.001
195	Ajuga iva	Ajuga iva	8	9	3.3	7.7	4.3	0		0.75873	0.69692	1.12584	1.6247	0.44535	0.32941	0.30333	0.0068	0.0072	0.2477	0.2058	1.3237	0.0055	0.0055
196	Ajuga laxmannii	Ajuga laxmannii	8	6.6	3.5	8	2	0		0.5602	0.31818	0.396	1.55949	0.27213	0.28856	0.13384	0.0022	0.0038	0.9157	0.0461	1.0011	0.0031	0.0011
197	Ajuga orientalis	Ajuga orientalis	6.8	x	4.2	x	6	0		0.61071	0.35091	0.35041	1.60206	0.19747	0.25254	0.15536	0.005	0.0063	1.6373	0.0665	1.6631	0.0037	0.0017
198	Ajuga pyramidalis	Ajuga pyramidalis	7.3	4	5.1	1.9	1.4	0		0.49112	0.22854	0.3379	1.22718	0.05707	0.23759	0.10945	0.0025	0.0018	0.6283	0.224	0.4589	0.0016	0.0012
199	Ajuga reptans	Ajuga reptans	6.1	x	6.2	x	x	0		0.6253	0.28029	0.23835	1.4655	0.18483	0.18945	0.16464	0.0002	0.0003	0.082	0.0064	0.0829	0.0001	0.0002
200	Ajuga tenorei	Ajuga tenorei	9	4	3	7	2	0		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
201	Alcea biennis	Alcea biennis	8.2	x	4.2	6.6	x	0.2		0.72857	0.685	1.19723	1.79835	0.93503	0.17826	0.2381	0.0118	0.0247	3.2998	0.1297	3.9811	0.0137	0.0069
