site	plotID	warming	treatment	year	date	recorder	writer	functional_group	species	cover
Skjellingahaugen	Skj_7_1	C	C	2018	21.08.2018	Silje Ostmann	Silje Ostmann	Forbs	Pot_cra	1
Skjellingahaugen	Skj_7_1	C	C	2018	21.08.2018	Silje Ostmann	Silje Ostmann	Forbs	Sel_sel	2
Skjellingahaugen	Skj_7_1	C	C	2018	21.08.2018	Silje Ostmann	Silje Ostmann	Forbs	Ant_odo	10
Skjellingahaugen	Skj_7_1	C	C	2018	21.08.2018	Silje Ostmann	Silje Ostmann	Graminoids	Ave_fle	5
Skjellingahaugen	Skj_7_1	C	C	2018	21.08.2018	Silje Ostmann	Silje Ostmann	Forbs	Bis_viv	1
Skjellingahaugen	Skj_7_1	C	C	2018	21.08.2018	Silje Ostmann	Silje Ostmann	Forbs	Ver_alp	1
Skjellingahaugen	Skj_7_1	C	C	2018	21.08.2018	Silje Ostmann	Silje Ostmann	Deciduous_shrubs	Vac_myr	1
Skjellingahaugen	Skj_7_1	C	C	2018	21.08.2018	Silje Ostmann	Silje Ostmann	Evergreen_shrubs	Emp_nig	1
Skjellingahaugen	Skj_7_1	C	C	2018	21.08.2018	Silje Ostmann	Silje Ostmann	Forbs	Dip_alp	1
Skjellingahaugen	Skj_7_1	C	C	2018	21.08.2018	Silje Ostmann	Silje Ostmann	Forbs	Oma_sup	1
Skjellingahaugen	Skj_7_1	C	C	2018	21.08.2018	Silje Ostmann	Silje Ostmann	Forbs	Pyr_sp	1
Skjellingahaugen	Skj_7_1	C	C	2018	21.08.2018	Silje Ostmann	Silje Ostmann	Forbs	Tha_alp	1
Skjellingahaugen	Skj_6_2	C	E	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Alc_alp	12
Skjellingahaugen	Skj_6_2	C	E	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Ant_odo	2
Skjellingahaugen	Skj_6_2	C	E	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Graminoids	Car_big	2
Skjellingahaugen	Skj_6_2	C	E	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Evergreen_shrubs	Emp_nig	2
Skjellingahaugen	Skj_6_2	C	E	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Graminoids	Nar_str	35
Skjellingahaugen	Skj_6_2	C	E	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Deciduous_shrubs	Sal_her	15
Skjellingahaugen	Skj_6_2	C	E	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Lys_eur	2
Skjellingahaugen	Skj_6_2	C	E	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Deciduous_shrubs	Vac_uli	4
Skjellingahaugen	Skj_6_2	C	E	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Graminoids	Ave_fle	2
Skjellingahaugen	Skj_6_2	C	E	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Bis_viv	2
Skjellingahaugen	Skj_6_2	C	E	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Graminoids	Car_vag	1
Skjellingahaugen	Skj_6_2	C	E	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Leo_aut	2
Skjellingahaugen	Skj_6_2	C	E	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Oma_sup	1
Skjellingahaugen	Skj_6_2	C	E	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Hie_alp	2
Skjellingahaugen	Skj_6_2	C	E	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Rum_ace	1
Skjellingahaugen	Skj_7_3	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Ant_odo	5
Skjellingahaugen	Skj_7_3	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Graminoids	Ave_fle	2
Skjellingahaugen	Skj_7_3	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Cam_rot	1
Skjellingahaugen	Skj_7_3	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Evergreen_shrubs	Emp_nig	8
Skjellingahaugen	Skj_7_3	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Deciduous_shrubs	Sal_her	20
Skjellingahaugen	Skj_7_3	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Sib_pro	18
Skjellingahaugen	Skj_7_3	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Vio_pal	2
Skjellingahaugen	Skj_7_3	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Alc_alp	5
Skjellingahaugen	Skj_7_3	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Bis_viv	2
Skjellingahaugen	Skj_7_3	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Graminoids	Car_big	1
Skjellingahaugen	Skj_7_3	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Luz_mul	1
Skjellingahaugen	Skj_7_3	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Pyr_sp	3
Skjellingahaugen	Skj_7_3	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Graminoids	Nar_str	15
Skjellingahaugen	Skj_7_3	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Leo_aut	1
Skjellingahaugen	Skj_7_3	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Eup_wet	1
Skjellingahaugen	Skj_7_3	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Hie_sp	1
Skjellingahaugen	Skj_7_3	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Lys_eur	1
Skjellingahaugen	Skj_7_3	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Dip_alp	2
Skjellingahaugen	Skj_7_3	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Ver_alp	1
Skjellingahaugen	Skj_7_3	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Sel_sel	1
